id,x,y,cate
0,-31.30554008,-18.13073158,3
1,-25.82277489,29.86520767,2
2,41.19594955,7.107544899,5
3,-32.09205627,-8.968654633,3
4,30.93395424,-22.36154938,5
5,4.088191032,-28.5823555,6
6,-23.88231277,-39.43987656,4
7,46.05681992,10.52435207,7
8,-23.2857914,-45.903965,4
9,28.49237442,-20.01841545,7
10,-1.019528151,23.26994705,1
11,19.84761238,-16.81064224,7
12,43.56581497,8.60474205,7
13,-33.65979767,-14.89476204,2
14,47.89856339,20.12805367,7
15,-2.927865028,-42.61133575,7
16,16.97145081,5.582118034,1
17,-29.49589729,24.29670334,2
18,-6.053769112,-18.49341011,3
19,28.54628563,-8.456989288,5
20,17.61156273,-38.2416153,6
21,46.09933472,16.35876274,7
22,32.16487503,-30.98151779,5
23,20.51916313,0.80166471,1
24,48.32967758,-13.43426514,7
25,48.54205704,-14.41312027,5
26,-13.26238918,-26.27243233,3
27,7.936688423,-22.64812088,6
28,12.74170685,-11.16652679,1
29,32.61017609,-18.01792717,7
30,-30.81201172,27.64490509,2
31,-24.71732521,-39.14303589,4
32,3.334315777,-18.72900391,6
33,32.30606461,-24.28962517,7
34,-27.49819565,21.60745239,2
35,-24.15950012,16.52118492,0
36,-35.82227325,-31.10214424,4
37,26.10787773,-5.411402225,5
38,-32.76375961,-23.87588692,4
39,-6.411743164,-37.47063828,3
40,30.59623337,-16.77697563,7
41,-11.31279278,-41.61816025,4
42,-18.47914314,-32.04383087,4
43,22.37976646,-15.09226513,7
44,28.78007889,26.63244629,7
45,-22.12121773,-2.435371876,3
46,-22.00699043,-32.20339966,4
47,39.96964264,9.900410652,1
48,31.42948723,-21.20379066,7
49,10.43560123,-20.18897438,6
50,-31.47218132,-15.55145359,2
51,-25.58846664,23.91449356,2
52,22.12090874,-21.61314392,6
53,-7.791397572,34.97208405,5
54,24.26748085,30.09780502,3
55,-30.94512939,-9.54339695,3
56,18.93625069,-21.67830658,7
57,-3.575758457,-0.244611964,1
58,-20.88241577,-10.94903183,3
59,11.70401192,-10.68294048,1
60,-17.0368824,-18.08371735,3
61,-4.697244644,-40.15797043,4
62,-10.10199261,-41.44930649,4
63,-30.98114586,-19.46666718,3
64,-38.34749603,-24.5221405,3
65,-2.396654367,4.609223843,1
66,-20.25782394,-45.69300079,4
67,2.327428818,16.04068947,1
68,17.74008179,39.37982559,1
69,-23.42984962,-37.11053467,4
70,6.303709984,-14.62619686,6
71,-29.84252548,-33.46180725,4
72,4.441474915,-4.50246954,1
73,-38.33231354,-22.02154732,4
74,-16.94477081,-15.12835407,3
75,-10.52035522,5.171354771,1
76,4.943539619,11.19134998,1
77,-5.982151508,-39.35461426,3
78,5.854142189,-1.400174499,3
79,3.084203482,-15.32148933,1
80,-7.983905792,-44.57552719,4
81,-6.046144485,-42.9479599,4
82,10.15116119,14.83424854,1
83,-1.84445703,-7.02289772,1
84,36.34194183,5.704846859,0
85,9.275028229,13.45523262,1
86,-6.339653969,-35.59554291,3
87,-36.89805984,-6.198760986,3
88,-12.34539413,-10.42312527,3
89,37.42319107,-18.94461632,5
90,-39.3695755,-30.06497002,4
91,-0.199510902,-45.37892914,0
92,-23.40342712,-26.97253418,4
93,-16.64090347,-1.888709545,3
94,42.92494583,12.94556046,7
95,42.91682053,13.05848026,1
96,17.36258698,-26.06492996,6
97,-16.54329491,24.53851318,0
98,-7.987465858,12.00572968,1
99,30.51720047,0.433242023,5
100,3.884670019,33.14197159,6
101,-12.06061649,13.11943245,1
102,5.182439327,6.701372623,1
103,36.09471512,-21.1576252,7
104,-8.875105858,-2.22330761,1
105,-13.98967266,-40.19007492,4
106,-20.8381424,-36.89799118,4
107,-23.48483467,-27.08363342,4
108,-11.09305286,3.149320841,1
109,-35.09695053,-35.96128464,3
110,16.1202755,1.761736512,1
111,37.21886826,-12.38983631,5
112,-5.896282196,6.262316227,1
113,-3.599459171,-12.33347511,5
114,-27.39666176,25.94706535,2
115,32.79898834,-0.688502669,5
116,-26.98158646,-23.64743805,3
117,4.657533646,14.08339119,1
118,-9.580073357,10.10659313,1
119,-14.00527191,-16.30934334,3
120,-11.35768509,-39.46897888,4
121,-7.96949482,-43.56224442,4
122,-9.363117218,-25.32385445,3
123,34.71389389,-0.023282103,5
124,-33.93826294,-11.44077969,3
125,-29.80675697,-19.25211716,3
126,-30.90135002,-18.25959778,3
127,46.01680756,2.044272423,0
128,41.6693306,15.7878809,1
129,22.38286781,45.44831085,0
130,-14.53456783,-29.07842255,3
131,-8.466023445,23.89182663,1
132,-20.51854134,-22.74636459,3
133,-16.21541023,-37.23733521,3
134,11.41458225,14.0196991,1
135,21.88185883,-7.817128658,1
136,26.69967079,6.381157398,6
137,-33.2304306,-0.062059477,3
138,27.14845276,-4.831355095,5
139,11.4832592,31.46627235,3
140,-18.01121902,4.860667229,1
141,20.17887115,-15.1099596,7
142,35.62113571,-1.274077177,5
143,-28.19951248,1.015266657,0
144,33.7039032,-17.25707817,7
145,-6.254262924,12.7161665,1
146,-14.15410614,16.82820892,1
147,15.73706913,-11.01378822,6
148,-28.91506767,31.01450157,2
149,-1.409683108,4.720098972,1
150,39.26615143,-20.58748436,0
151,16.35860252,-18.1608181,1
152,-23.8283329,-40.34430313,4
153,23.61950302,36.17524338,2
154,-16.77672958,15.93368912,3
155,3.51655221,33.45435715,0
156,-27.13671303,-41.58080292,4
157,-19.28578186,-38.86626816,4
158,-20.30203819,-32.7281723,3
159,-26.50022697,-37.42017746,4
160,-8.700273514,-16.85314369,3
161,7.527312279,5.225322247,1
162,-0.280296594,-10.27239132,3
163,-34.27988434,-39.05786133,4
164,-20.70072937,21.74165535,2
165,-22.18299675,-36.99938202,4
166,-27.67798042,-40.37625504,4
167,20.81851387,19.51637268,1
168,-12.16541195,-42.41904068,4
169,12.41983891,-24.77334785,6
170,21.35534859,-12.9548378,7
171,7.629439354,49.72914505,1
172,-13.24390316,4.58023119,1
173,-4.974257469,1.284071445,1
174,-5.87787199,39.07539368,6
175,27.35375214,-4.80172348,5
176,1.994677782,-23.41887665,1
177,20.73576355,-4.220117569,7
178,18.55148888,-1.356191635,1
179,-8.138568878,-32.87443161,4
180,-20.44023132,7.407756329,2
181,21.05986214,10.10997868,2
182,-19.16092873,-38.87361526,4
183,-9.360304832,-10.87463665,2
184,30.37235069,-8.982667923,5
185,-37.50352478,8.27199173,1
186,39.0255661,-18.57217789,5
187,-10.6393652,-45.56774521,4
188,37.45038986,-17.78221512,5
189,-15.31629372,15.41300583,1
190,36.86070251,-17.43692017,7
191,12.31050777,-30.41526031,6
192,21.16584206,-27.3967514,7
193,-11.6001339,-5.298976421,3
194,23.34362984,-14.5710268,7
195,19.70869446,-13.89643097,7
196,-18.04876328,17.10416031,0
197,13.39936829,-32.42490387,6
198,-5.307705879,38.49469757,6
199,39.29286194,-20.04568863,5
200,32.1079216,1.898680806,5
201,29.0568428,-32.7974205,0
202,-9.5082798,-22.49651909,3
203,22.36676598,27.06959343,1
204,36.90642548,-18.52419472,7
205,-4.057271004,7.409321785,1
206,16.29477119,12.26586437,0
207,39.28921127,-20.05791855,5
208,13.4192543,-32.32735443,6
209,-8.67013073,33.05083466,0
210,14.35662651,-17.67774391,6
211,22.24594307,45.65268707,6
212,-10.02211952,-19.7736969,3
213,-25.64417076,-9.36786747,3
214,-31.08050156,32.31736755,2
215,-22.40584373,-47.61400604,4
216,36.66632462,-20.16649246,7
217,21.05412102,5.406731129,0
218,41.3749733,19.63408089,3
219,29.14213181,38.38165283,1
220,-10.38778591,-31.35516548,3
221,-36.07680893,-14.9359293,3
222,-37.37029266,-17.92541122,3
223,19.90330315,9.168658257,1
224,-37.15301132,33.35626984,2
225,31.72214508,-12.38850498,5
226,-9.358123779,5.379604816,1
227,33.13418579,-28.40599442,5
228,33.18574905,-28.419487,5
229,29.92247391,5.519918919,1
230,27.18609619,-10.94492912,1
231,-20.47768211,1.407691956,2
232,-14.34964943,-9.170080185,3
233,5.987769604,-35.78804016,7
234,23.81897926,9.362731934,2
235,-23.64825439,39.46733856,6
236,-28.93699646,36.34844971,2
237,24.56065941,27.49007416,1
238,45.30909348,15.07537842,7
239,6.859436512,-8.093157768,1
240,19.34546661,20.64857483,1
241,8.641294479,-32.22310638,6
242,-28.24512672,-20.8160305,3
243,-30.96075439,35.99020767,2
244,-27.37500954,33.01276398,2
245,20.87594986,20.86641121,1
246,28.04461861,-11.55333233,7
247,22.34732056,-15.00074959,7
248,-22.36143684,23.8955555,2
249,33.40517807,-29.51294708,5
250,31.75031471,-12.90954971,5
251,18.03705406,29.63220978,1
252,24.6588707,27.50167084,5
253,-4.554298878,15.20289707,1
254,-6.455626488,24.03147316,1
255,-22.61486626,-20.26264381,3
256,18.73134041,34.64617157,0
257,-31.35089111,15.20325184,0
258,-21.62884712,25.54692268,2
259,10.0605135,19.50261879,1
260,-32.85891342,16.14583397,2
261,-6.92732954,2.195746899,1
262,9.53233242,43.50794983,2
263,23.92192268,-31.90198708,6
264,34.46395493,-21.64991379,5
265,-25.06075668,-12.20932674,3
266,28.90119553,-15.62178707,7
267,22.00263405,-2.840435266,1
268,-34.82669449,21.74068642,2
269,-12.8916893,-47.1315155,4
270,-27.82195282,28.77065849,2
271,6.096765995,-1.091565013,1
272,29.84601974,-24.93199158,6
273,29.31482506,7.450696468,1
274,-23.02919769,-39.95814133,4
275,-28.41387558,-6.701393604,3
276,-12.31165981,-42.46514893,4
277,22.54686165,-18.79616547,7
278,14.58114338,24.79570007,0
279,9.116675377,-28.48368263,6
280,-29.5921669,-14.89309216,4
281,-36.19670486,-37.46774673,3
282,-31.51515579,-14.86477757,3
283,15.02226734,18.8099308,1
284,-28.74653053,34.0663147,2
285,15.26721859,-26.54171753,6
286,20.88135338,47.1507225,2
287,19.339571,12.8060112,5
288,-26.58184242,32.11322403,2
289,-37.97335052,4.547915459,0
290,34.26266479,-6.767984867,5
291,40.50707245,20.63135147,0
292,23.14364624,26.16713715,1
293,24.12123108,-15.88647842,7
294,-0.65845257,-30.88640213,7
295,-22.25047874,-11.17990398,3
296,14.67811584,-22.93828392,6
